"Country","Year","Age","mxm","mxf","dxm","dxf"
"Malawi",2000,92,0.425879625405355,0.407271974480174,0.000965480529995763,0.00166205222369808
"Malawi",2000,93,0.451666383218758,0.433525086218062,0.000657432232521707,0.00115792429791588
"Malawi",2000,94,0.477986459825067,0.460332264940994,0.000434724816967498,0.000782829227821835
"Malawi",2000,95,0.50475,0.48759,0.000278951883008486,0.000513214139349283
"Malawi",2000,96,0.53185911094544,0.515185075854218,0.000173589658610081,0.000326066881071286
"Malawi",2000,97,0.5592109379497,0.54299595140254,0.000104704308839606,0.000200662705038809
"Malawi",2000,98,0.586696336786596,0.570892937086179,6.11867278015243e-05,0.000119564295288812
"Malawi",2000,99,0.614199766568252,0.598738846066125,3.46298182159211e-05,6.89582770062178e-05
"Malawi",2000,100,0.6416,0.62639,1.89774778958717e-05,3.84905084351731e-05
"Malawi",2000,101,0.668770930997075,0.653697367544382,1.00685724862818e-05,2.07920647217563e-05
"Malawi",2000,102,0.695582473519447,0.680507824786967,5.17177130757674e-06,1.08712534585272e-05
"Malawi",2000,103,0.721901543783775,0.706665524140379,2.5722481638766e-06,5.50341964738606e-06
"Malawi",2000,104,0.747593116376473,0.732013355705019,1.23911632813482e-06,2.69876933764015e-06
"Malawi",2000,105,0.772521343254425,0.756394482796102,5.78399382722914e-07,1.28282797431597e-06
"Malawi",2000,106,0.796550723214737,0.779653931291546,2.61771293277407e-07,5.91580504444568e-07
"Malawi",2000,107,0.819547308175039,0.801640210749575,1.14955833568055e-07,2.64948898436017e-07
"Malawi",2000,108,0.841379931562095,0.822206943919047,4.90307361664833e-08,1.1538839612407e-07
"Malawi",2000,109,0.861921443286371,0.841214480364621,2.03342092452489e-08,4.89387313099773e-08
"Malawi",2000,110,0.881049935207228,0.85853146948723,1.34246152535139e-08,3.37069169130016e-08
"Brazil",2011,0,0.01541,0.01268,0.0152034391542222,0.012540518161559
"Brazil",2011,1,0.00047,0.00039,0.000462745638372498,0.00038503411626432
"Brazil",2011,2,0.000383973440835381,0.000310280484512526,0.000377885492959319,0.000306222430467124
"Brazil",2011,3,0.000327423160563669,0.000262368276026976,0.000322117226042356,0.000258862719425273
"Brazil",2011,4,0.000291224772380294,0.000234414430628991,0.000286416827309826,0.000231224929307476
"Brazil",2011,5,0.00027,0.00022,0.000265467958654077,0.000216957324975708
"Brazil",2011,6,0.000261109159513529,0.000215658329217436,0.000256658187973452,0.000212629379005244
"Brazil",2011,7,0.000265040262511131,0.000219744445040678,0.000260453752069277,0.000216610943194496
"Brazil",2011,8,0.000284539163633083,0.000231670817749903,0.000279538401080904,0.000228315710495573
"Brazil",2011,9,0.000325553034243544,0.000251547588980939,0.000319733907365891,0.000247844733489472
"Brazil",2011,10,4e-04,0.00028,0.000392707675846411,0.000275805005573728
"Brazil",2011,11,0.000528238279924982,0.000317712962501295,0.000518367435631229,0.000312859434672369
"Brazil",2011,12,0.000730399776344013,0.000363937008677551,0.000716300371443088,0.000358255219549518
"Brazil",2011,13,0.00102316473585399,0.000416354811627655,0.00100253456367365,0.000409694805260877
"Brazil",2011,14,0.00140500527112791,0.000470629049321108,0.00137500578195499,0.000462895539743779
"Brazil",2011,15,0.00183,0.00052,0.00178803189936656,0.000511201947658057
"Brazil",2011,16,0.00220542589605465,0.000557366977892736,0.00215050493199978,0.00054764161904799
"Brazil",2011,17,0.00247837164510796,0.000582484876046214,0.00241100105320941,0.000571995155451523
"Brazil",2011,18,0.00263858764030783,0.000598408786348173,0.00256030322035983,0.000587285437028508
"Brazil",2011,19,0.00270399755216574,0.000609320121246044,0.00261677308067326,0.000597632952412894
"Brazil",2011,20,0.00271,0.00062,0.00261549218451182,0.000607734320070737
"Brazil",2011,21,0.00269297435505372,0.000634743828597531,0.00259204840073116,0.000621796247807108
"Brazil",2011,22,0.0026672234458357,0.00065466413646169,0.00256039121741281,0.000640896898881599
"Brazil",2011,23,0.00264112112638072,0.000680146037163778,0.00252861405335807,0.000665398692919366
"Brazil",2011,24,0.00262274734392317,0.000711704391150052,0.00250442276944746,0.00069578839787091
"Brazil",2011,25,0.00262,0.00075,0.00249524980017532,0.000732691913940673
"Brazil",2011,26,0.00263883028309307,0.000795564292938664,0.00250658399200511,0.000776604328175936
